elapsed,69186,1590118656079
17382,yes
17382,example,saliencymap
8220,yes
8220,shap,gradcampp
7426,yes
7426,shap,saliencymap
6123,no
6123,saliencymap,gradcampp
3335,yes
3335,example,shap
13659,no
13659,gradcampp,example
86,yes
86,example,saliencymap
6515,yes
6515,shap,gradcampp
8609,yes
8609,saliencymap,shap
5840,yes
5840,saliencymap,gradcampp
15715,yes
15715,example,shap
1244,yes
1244,example,gradcampp
