elapsed,169754,1590534059135
2665,yes
2665,saliencymap,example
3785,yes
3785,saliencymap,gradcampp
2291,yes
2291,example,shap
3060,yes
3060,shap,gradcampp
2711,yes
2711,saliencymap,shap
3191,yes
3191,example,gradcampp
