elapsed,184487,1590612193389
128535,no
128535,lime,example
18431,yes
18431,example,anchor
188448,no
188448,shap,example
295679,no
295679,shap,anchor
146673,no
146673,shap,lime
39247,yes
39247,lime,anchor
71382,yes
71382,example,lime
77028,yes
77028,example,anchor
158325,yes
158325,shap,example
300339,yes
300339,shap,anchor
105784,no
105784,shap,lime
272421,no
272421,lime,anchor
