elapsed,45377,1590533943376
570,no
570,saliencymap,gradcampp
1192,yes
1192,gradcampp,shap
2697,no
2697,saliencymap,shap
2008,yes
2008,example,gradcampp
620,yes
620,example,shap
2292,no
2292,saliencymap,example
