elapsed,91960,1590693240109
66344,yes
66344,example,shap
158464,yes
158464,anchor,example
181842,yes
181842,shap,anchor
188301,no
188301,example,lime
295679,yes
295679,lime,anchor
241614,yes
241614,lime,shap
91109,no
91109,shap,example
71382,yes
71382,anchor,example
262907,yes
262907,shap,anchor
261534,yes
261534,example,lime
272421,yes
272421,anchor,lime
42399,no
42399,shap,lime
