elapsed,140592,1590171049731
6206,yes
6206,gradcampp,saliencymap
2925,yes
2925,saliencymap,example
12986,yes
12986,shap,gradcampp
12760,no
12760,saliencymap,shap
20636,yes
20636,example,shap
2432,no
2432,gradcampp,example
86,yes
86,saliencymap,gradcampp
17154,yes
17154,example,saliencymap
21857,no
21857,shap,gradcampp
5840,yes
5840,saliencymap,shap
20399,yes
20399,example,shap
9437,no
9437,example,gradcampp
