elapsed,393299,1590693429794
112397,yes
112397,shap,anchor
84467,yes
84467,anchor,lime
95961,yes
95961,anchor,example
140297,no
140297,example,shap
166056,no
166056,lime,example
82763,yes
82763,shap,lime
107471,yes
107471,anchor,shap
229332,yes
229332,lime,anchor
261534,yes
261534,example,anchor
200975,yes
200975,shap,example
18431,yes
18431,example,lime
19988,yes
19988,shap,lime
