elapsed,381516,1590177262464
7426,yes
7426,gradcampp,shap
8042,yes
8042,example,shap
11909,yes
11909,example,gradcampp
16830,yes
16830,saliencymap,shap
15820,no
15820,example,saliencymap
10588,yes
10588,saliencymap,gradcampp
3016,no
3016,gradcampp,shap
13311,yes
13311,example,shap
8855,yes
8855,example,gradcampp
19531,no
19531,saliencymap,shap
5840,yes
5840,example,saliencymap
18666,yes
18666,gradcampp,saliencymap
