elapsed,246529,1589577246338
5754,yes
5754,lime,gradcampp
3727,yes
3727,shap,anchor
6042,yes
6042,example,saliencymap
6285,yes
6285,anchor,saliencymap
7023,yes
7023,example,saliencymap
7471,no
7471,example,lime
7914,yes
7914,gradcampp,shap
5332,yes
5332,example,gradcampp
3862,yes
3862,example,anchor
4537,yes
4537,saliencymap,lime
