elapsed,279066,1590035286138
1656,yes
1656,gradcampp,saliencymap
228,yes
228,gradcampp,shap
17882,yes
17882,example,gradcampp
6515,yes
6515,example,shap
6228,yes
6228,shap,saliencymap
21857,yes
21857,example,saliencymap
86,no
86,saliencymap,gradcampp
10511,yes
10511,shap,gradcampp
13659,yes
13659,example,gradcampp
5840,no
5840,example,shap
18557,yes
18557,saliencymap,shap
11367,yes
11367,example,saliencymap
